from,to,new_delta,desc
2020-05-03 16:20:01,2020-05-03 16:40:01,0,Tilsatte dronetavle og fjernede gammel fodertavl.
2020-05-06 11:50:41,2020-05-06 12:10:41,0,Påsatte 2. mag med 9 kunsttvl + 1 fodertavle fra mag 1. 
2020-05-28 12:00:01,2020-05-28 12:40:01,0,Påsat magasin
2020-06-27 18:00:01,2020-06-27 18:40:01,0,Påsatte 2. honningmag (under det første) 27/6. Allerede noget udbygget.
2020-07-01 13:10:01,2020-07-01 13:50:01,0,3 tvl høstet. 2. honningmagasin fjernet
2020-08-13 12:30:01,2020-08-13 13:10:01,0,Indvinrrede og fjernede dronetvl der ikke var udbygget (men med lidt æg og larver)
2020-08-27 12:45:02,2020-08-27 14:35:01,0,Høstede sidste gang og start fodrede
