dt,precipitation,wind,drought,humidity,pressure,sun
2019-06-01 00:00:00,0,4,8.7,82.6,1018.2,2.6
2019-06-02 00:00:00,0,2.3,9,68.7,1017.2,9.5
2019-06-03 00:00:00,0.8,2.7,9.1,71.2,1011.5,5.8
2019-06-04 00:00:00,1.6,1.4,9.1,76.9,1014.2,9.7
2019-06-05 00:00:00,0,2.7,9.4,70.2,1010.2,13.4
2019-06-06 00:00:00,7.6,3.8,8.8,72.6,1009.2,11.4
2019-06-07 00:00:00,2.6,2.2,8.6,87.7,1013.9,2
2019-06-08 00:00:00,3.4,3.2,8.4,79.3,1014.7,2
2019-06-09 00:00:00,0,3.6,8.6,67.4,1021.4,6.8
2019-06-10 00:00:00,0,2.3,8.8,76.1,1019.5,3
2019-06-11 00:00:00,1,3.8,8.8,83.4,1013.1,5.8
2019-06-12 00:00:00,20.4,3.5,6.9,88.7,1011,5.4
2019-06-13 00:00:00,3.3,2.6,6.9,77.1,1012.9,8.7
2019-06-14 00:00:00,6.3,2.8,6.7,72.4,1018.3,11.8
2019-06-15 00:00:00,7.6,3.3,6.1,80.6,1014.4,2.9
2019-06-16 00:00:00,0.6,3.3,6.4,78.4,1016.9,7.8
2019-06-17 00:00:00,0,2.1,6.8,74.7,1021,12.3
2019-06-18 00:00:00,0.1,2.8,7.3,71.4,1017.5,11.3
2019-06-19 00:00:00,2.8,2.6,7.4,73.6,1010.5,8.7
2019-06-20 00:00:00,1.3,2.7,7.5,83.9,1007.8,5.1
2019-06-21 00:00:00,0.6,2.8,7.7,73.9,1015.5,7.4
2019-06-22 00:00:00,0,2.2,8.1,67.8,1023.8,14
2019-06-23 00:00:00,0,1.2,8.6,65.5,1025.9,15.2
2019-06-24 00:00:00,0,2.1,9,61.2,1027.2,13.3
2019-06-25 00:00:00,0,3.1,9.3,70.9,1023.6,13.1
2019-06-26 00:00:00,0,3.4,9.5,70.9,1018.4,8.7
2019-06-27 00:00:00,0,5.1,9.7,71.7,1021.2,9.1
2019-06-28 00:00:00,0,2.8,9.9,68.2,1023.1,14.3
2019-06-29 00:00:00,0,3.2,10,72.3,1018.7,13.1
2019-06-30 00:00:00,0,3.9,10,63.3,1009.6,13
